"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Educational Maintenance Allowances, 2018-2019","2023-08-02","Publication Cancelled","Information on students at school, at a college or under an activity agreement in Scotland who received at least one payment under the Education Maintenance Allowances scheme.","Michael Hunter
tel. 0131 244 4156
e-mail: michael.hunter@gov.scot","Annual","Due to the covid pandemic, the 2018-19 and 2019-20 publications were delayed. Following the delay the 2018-19 and 2019-20 data was included in the 2020-21 EMA publication.",3000,8000,True,"2023-08-02",1690934400000
"School Estates Statistics, School estates statistics 2023","2023-09-05","09:30","Statistics on school estates including condition, suitability and new builds/refurbishments.","Janice Blanc
e-mail: janice.blanc@gov.scot","Annual","",3000,8000,True,"2023-09-05",1693872000000
"School Healthy Living Survey Statistics, School Healthy Living Survey Statistics 2023","2023-09-05","09:30","Statistics on school meal uptake and PE provision from the Healthy Living Survey.","David Nicholson
e-mail: david.nicholson@gov.scot","Annual","",3000,8000,True,"2023-09-05",1693872000000
"Summary Statistics for Schools in Scotland, Summary Statistics for Schools in Scotland 2023","2023-12-00","","A compendium publication with summary statistics on school pupils, teachers, pupil teacher ratios, class sizes, attendance & exclusions (biennially) and early learning and childcare registrations and teachers.","Alasdair Anthony
e-mail: alasdair.anthony@gov.scot","Annual","Not applicable",3000,8000,False,"2023-12-01",1701388800000
"Summary Statistics for Attainment and Initial Leaver Destinations, Summary Statistics for Attainment and Initial Leaver Destinations, No 6: 2024 Edition","2024-02-00","","School leaver attainment and initial destinations","Andrew White
tel. 0131 244 1689
e-mail: andrew.white@gov.scot","Annual","Not applicable",3000,8000,False,"2024-02-01",1706745600000
"Summary Statistics for Schools in Scotland Supplementary Statistics, Summary Statistics for Schools in Scotland - Supplementary Statistics 2023","2024-03-00","","Supplementary statistics on schools in Scotland covering teachers, support staff, pupils, class sizes. Also includes attendance, absence and exclusion statistics biennially.","Alasdair Anthony
e-mail: alasdair.anthony@gov.scot","Annual","Not applicable",3000,8000,False,"2024-03-01",1709251200000
"Follow-up Destinations of all School Leavers, Summary Statistics for Follow-up Leaver Destinations, No. 6: 2024 Edition","2024-06-00","","School leavers' follow-up destinations","Andrew White
tel. 0131 244 1689
e-mail: andrew.white@gov.scot","Annual","Not applicable",3000,8000,False,"2024-06-01",1717200000000
"Higher Education Students and Qualifiers at Scottish Institutions, Higher Education Students and Qualifiers at Scottish Institutions 2022-23","2024-08-00","","This publication contains information on HE provision and attainment in higher education institutions and colleges in Scotland. This includes information on student characteristics, access and equalities, and cross-border flows.","Chris Arrowsmith
tel. 0131 313 6579
e-mail: carrowsmith@sfc.ac.uk","Annual","Not applicable",3000,8000,False,"2024-08-01",1722470400000
"College Leaver Destinations, College Leaver Destinations 2021-22","2023-10-00","","This publication provides information on the destinations of successful full-time college leavers in Scotland, thereby supporting the Scottish Government strategies on employment and skills for Scotland by providing key information for progression to further study and employment for all age groups.","SFC Webmaster
tel. 0131 313 6568
e-mail: webmaster@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2023-10-01",1696118400000
"Student Satisfaction and Engagement, Student Satisfaction and Engagement 2022-23","2023-10-00","","This publication provides information on student satisfaction and engagement of college students in Scotland.","Kenny Wilson
tel. 0131 313 6509
e-mail: kwilson@sfc.ac.uk","Annual","Not applicable",3005,8000,False,"2023-10-01",1696118400000
"Scottish reports from the UK Employer Skills, Scottish reports from the UK Employer Skills 2022","2023-11-00","","Results for Scotland from the UK Employer Skills 2022","Kate Brady
e-mail: kate.brady@gov.scot
Julie Carr
e-mail: julie.carr@gov.scot","Annual","Not applicable",3005,8000,False,"2023-11-01",1698796800000
